Station_ID,Station_Name,Line,Boro,2014,2015,2016,2017,2018,2019,2018-2019 Change,,2019 Rank
1,Astor Pl,6,Manhattan,"17,803","17,274","16,806","16,377","16,031","17,180","+1,149",+7.2%,84
2,Canal St,"J,N,Q,R,W,Z,6",Manhattan,"44,362","44,409","45,030","47,601","47,034","47,629",+595,+1.3%,16
3,50th St,1,Manhattan,"27,251","26,927","26,362","25,932","26,268","26,712",+444,+1.7%,39
4,Bergen St,"2,3",Brooklyn,"3,923","3,823","3,884","3,853","3,653","3,857",+204,+5.6%,334
5,Pennsylvania Ave,3,Brooklyn,"5,718","6,997","2,485","3,503","4,331","4,493",+162,+3.8%,310
6,238th St,1,Bronx,"3,934","4,068","4,350","4,370","3,225","3,998",+773,+24.0%,329
7,Cathedral Pkwy (110th St),1,Manhattan,"13,630","13,444","12,926","12,394","12,526","11,826",-700,-5.6%,133
8,Kingston - Throop Aves,C,Brooklyn,"5,968","6,210","6,350","6,564","6,585","6,643",+58,+0.9%,233
9,65th St,"M,R",Queens,"3,647","3,762","3,747","3,621","3,601","3,554",-47,-1.3%,348
10,36th St,"M,R",Queens,"4,597","4,733","4,776","4,786","5,177","4,725",-452,-8.7%,300
11,Delancey St - Essex St,"F,J,Z",Manhattan,"24,154","24,902","25,625","24,993","24,562","26,685","+2,123",+8.6%,40
12,Van Siclen Ave,"J,Z",Brooklyn,"2,940","3,004","3,067","2,900","2,678","2,614",-64,-2.4%,384
13,Norwood Ave,"J,Z",Brooklyn,"3,603","3,639","3,613","3,437","3,190","3,156",-34,-1.1%,369
14,104th-102nd Sts,"J,Z",Brooklyn,"2,659","2,710","2,758","1,727","1,587","2,727","+1,140",+71.9%,380
15,DeKalb Ave,"B,Q,R",Brooklyn,"17,350","17,889","18,774","21,230","22,069","22,000",-69,-0.3%,59
16,Beach 105th St,"A,S",Queens,260,305,289,278,261,243,-18,-6.8%,424
17,Beach 90th St,"A,S",Queens,563,608,579,531,481,478,-3,-0.7%,422
18,Freeman St,"2,5",Bronx,"4,867","4,899","5,055","4,984","4,451","4,387",-64,-1.4%,316
19,Intervale Ave,"2,5",Bronx,"3,571","3,472","3,423","3,377","3,130","3,140",+10,+0.3%,371
20,182nd-183rd Sts,"B,D",Bronx,"4,813","5,020","5,177","4,990","4,752","4,773",+21,+0.4%,297
21,174th-175th Sts,"B,D",Bronx,"5,301","5,312","5,519","5,475","3,221","4,869","+1,648",+51.1%,292
22,167th St,"B,D",Bronx,"9,906","10,166","10,439","10,223","6,342","8,542","+2,200",+34.7%,183
23,Mets - Willets Point,7,Queens,"4,555","5,244","5,367","5,028","4,606","4,973",+367,+8.0%,288
24,Junction Blvd,7,Queens,"21,116","21,557","22,051","21,751","21,100","21,149",+49,+0.2%,64
25,Flushing - Main St,7,Queens,"60,252","60,226","60,259","58,511","55,669","56,503",+834,+1.5%,13
26,Buhre Ave,6,Bronx,"2,155","2,237","3,568","3,701","3,744","3,898",+154,+4.1%,333
27,3rd Ave - 138th St,6,Bronx,"7,951","7,994","8,008","8,114","7,801","8,100",+299,+3.8%,189
28,Castle Hill Ave,6,Bronx,"4,938","7,174","6,895","6,756","6,483","6,435",-48,-0.7%,240
29,Brooklyn Bridge - City Hall / Chambers St,"4,5,6,J,Z",Manhattan,"37,160","35,858","34,352","31,804","30,932","30,961",+29,+0.1%,31
30,Zerega Ave,6,Bronx,"2,012","1,647","2,629","2,664","2,629","2,676",+47,+1.8%,381
31,Grand Central - 42nd St,"S,4,5,6,7",Manhattan,"157,899","160,294","158,580","154,711","155,345","157,273","+1,928",+1.2%,2
32,33rd St,6,Manhattan,"32,863","32,809","32,153","30,040","32,608","30,368","-2,240",-6.9%,32
